Repository Name,Type,Primary Language,Purpose,Role,Priority,Dependencies Count,Publication Targets Count,Dependencies,Publication Targets,Artifacts
mcp-prompts,metarepository,YAML/Shell,Metarepository: orchestrates CI scripts, docker-compose scenarios, documentation and release orchestration,orchestrator,critical,0,2,None,"GitHub Actions, Docker Hub","GitHub Actions workflows, Docker images (suite), Documentation"
mcp-prompts-catalog,data_repository,JSON/Markdown,Single source of truth for all prompts in JSON/MDC format,data_source,critical,0,2,None,"NPM, Git tags","JSON prompts, MDC templates, Documentation"
mcp-prompts-contracts,contracts_repository,TypeScript,Shared TypeScript interfaces and OpenAPI contracts for the ecosystem,contracts,critical,0,2,None,"NPM, Git tags","TypeScript types, OpenAPI specs, Contracts"
mcp-prompts-core,core_package,TypeScript,Core domain logic and business rules (hexagonal architecture),core_domain,critical,2,2,"mcp-prompts-catalog, mcp-prompts-contracts","NPM, Git tags","Core entities, Services, Ports, Use cases"
mcp-prompts-adapters-file,adapter_package,TypeScript,File-based storage adapter implementing core ports,storage_adapter,high,3,2,"mcp-prompts-catalog, mcp-prompts-contracts, mcp-prompts-core","NPM, Git tags","File adapter, JSON storage, Indexing"
mcp-prompts-adapters-mdc,adapter_package,TypeScript,MDC format parsing and serialization adapter,format_adapter,high,3,2,"mcp-prompts-catalog, mcp-prompts-contracts, mcp-prompts-core","NPM, Git tags","MDC parser, Serializer, Validator"
mcp-prompts-adapters-postgres,adapter_package,TypeScript,PostgreSQL storage adapter with advanced querying,storage_adapter,high,3,2,"mcp-prompts-catalog, mcp-prompts-contracts, mcp-prompts-core","NPM, Git tags","PostgreSQL adapter, Migrations, Query builder"
mcp-prompts-adapters-memory,adapter_package,TypeScript,In-memory storage adapter for testing and development,storage_adapter,medium,3,2,"mcp-prompts-catalog, mcp-prompts-contracts, mcp-prompts-core","NPM, Git tags","Memory adapter, Test utilities, Mock data"
mcp-prompts-adapters-cli,adapter_package,TypeScript,Command-line interface adapter for MCP Prompts,cli_adapter,medium,3,2,"mcp-prompts-catalog, mcp-prompts-contracts, mcp-prompts-core","NPM, Git tags","CLI tools, Commands, Help system"
mcp-prompts-adapters-rest,adapter_package,TypeScript,REST API adapter for HTTP communication,api_adapter,medium,3,2,"mcp-prompts-catalog, mcp-prompts-contracts, mcp-prompts-core","NPM, Git tags","REST endpoints, Middleware, Validation"
mcp-prompts-adapters-eta,adapter_package,TypeScript,Eta templating engine adapter for prompt rendering,templating_adapter,medium,3,2,"mcp-prompts-catalog, mcp-prompts-contracts, mcp-prompts-core","NPM, Git tags","Template engine, Variable substitution, Rendering"
apps-server,application,TypeScript,MCP server application with composition root and transport layers,server_app,critical,11,2,"All packages","NPM, Docker Hub","MCP server, HTTP transport, SSE support, Health checks"
